User,collect_list(Reco)
15447,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
15619,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
15727,"[24, 2, 15, 3, 10, 11, 13, 1, 6, 16]"
15790,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
15846,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
15957,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
16386,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
16574,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
17389,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
17679,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
17753,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
18051,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
18498,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
18800,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
18866,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
18911,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
18944,"[2, 7, 21, 17, 20, 1, 23, 18, 5, 11]"
19079,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
19204,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
19553,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
19984,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
20135,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
20382,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
20497,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
20735,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
20924,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
21220,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
21700,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
22346,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
22373,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
22521,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
23015,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
23271,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
23336,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
23364,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
23571,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
24171,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
24347,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
24354,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
24663,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
25462,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
25517,"[2, 7, 21, 17, 20, 1, 23, 18, 5, 11]"
25591,"[2, 7, 21, 17, 20, 1, 23, 18, 5, 11]"
26087,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
26425,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
26583,"[2, 7, 21, 17, 20, 1, 23, 18, 5, 11]"
26706,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
26755,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
27484,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
27760,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
28024,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
28088,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
28124,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
28146,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
28170,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
28577,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
28759,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
29054,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
29194,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
29228,"[24, 2, 15, 3, 10, 11, 13, 1, 6, 16]"
29285,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
29601,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
29719,"[2, 21, 1, 23, 5, 17, 11, 16, 18, 20]"
29744,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
29834,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
29894,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
29993,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
30361,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
30654,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
30903,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
30970,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
31236,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
31367,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
31528,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
31912,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
31983,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
32396,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
32414,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
32445,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
32592,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
32855,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
33375,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
33412,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
33569,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
33722,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
33868,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
34061,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
34234,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
34239,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
34759,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
35071,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
35351,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
35361,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
35694,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
35820,"[24, 2, 15, 3, 10, 11, 13, 1, 6, 16]"
35912,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
35947,"[24, 2, 15, 3, 10, 11, 13, 1, 6, 16]"
35982,"[2, 7, 21, 17, 20, 1, 23, 18, 5, 11]"
36224,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
36538,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
37111,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
37146,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
37251,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
37307,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
37489,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
38153,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
38220,"[21, 10, 18, 5, 2, 15, 20, 1, 24, 9]"
38311,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
38395,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
38723,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
38758,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
38868,"[21, 10, 18, 5, 2, 15, 20, 1, 24, 9]"
39285,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
39432,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
40011,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
40107,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
40335,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
40383,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
40386,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
40515,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
40574,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
40653,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
41409,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
41575,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
41751,"[2, 7, 21, 17, 20, 1, 23, 18, 5, 11]"
41890,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
41946,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
41988,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
42373,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
42468,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
42635,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
43103,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
43302,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
43527,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
43688,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
43714,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
43852,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
43935,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
44358,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
44437,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
44596,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
44906,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
45011,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
45307,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
45615,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
46266,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
46465,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
46521,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
46994,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
47084,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
47217,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
47283,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
47501,"[2, 7, 21, 17, 20, 1, 23, 18, 5, 11]"
47711,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
48254,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
48510,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
49308,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
49331,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
50223,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
50348,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
50353,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
51123,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
51393,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
51415,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
51595,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
51607,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
52697,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
53191,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
53634,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
53963,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
54190,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
54264,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
55265,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
55869,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
56054,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
56110,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
56640,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
56741,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
56987,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
57178,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
57201,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
57370,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
57380,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
58061,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
58305,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
58665,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
58797,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
58835,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
59384,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
59990,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
60769,"[2, 7, 21, 17, 20, 1, 23, 18, 5, 11]"
61051,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
61793,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
62015,"[24, 2, 15, 3, 10, 11, 13, 1, 6, 16]"
62680,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
62985,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
63087,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
63106,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
63155,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
63271,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
63645,"[21, 10, 18, 5, 2, 15, 20, 1, 24, 9]"
63964,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
64121,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
64423,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
64519,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
64590,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
64628,"[24, 2, 15, 3, 10, 11, 13, 1, 6, 16]"
64822,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
64859,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
65241,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
65251,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
65408,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
65867,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
66010,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
66166,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
66176,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
67089,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
67294,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
67376,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
67492,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
67753,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
67782,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
67861,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
68090,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
68098,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
68135,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
68579,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
69042,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
69048,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
69352,"[2, 7, 21, 17, 20, 1, 23, 18, 5, 11]"
69454,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
69637,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
70097,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
70355,"[21, 10, 18, 5, 2, 15, 20, 1, 24, 9]"
70863,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
71510,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
71527,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
71995,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
72578,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
72702,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
72820,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
73048,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
73305,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
73470,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
73683,"[21, 10, 18, 5, 2, 15, 20, 1, 24, 9]"
73933,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
74058,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
74166,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
74251,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
74281,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
74757,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
74775,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
74820,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
74836,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
74852,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
74904,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
75039,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
75120,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
75149,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
75294,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
75509,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
75614,"[21, 10, 18, 5, 2, 15, 20, 1, 24, 9]"
75705,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
76110,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
76143,"[2, 7, 21, 17, 20, 1, 23, 18, 5, 11]"
76493,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
76756,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
76885,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
77234,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
77422,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
77803,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
78064,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
78400,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
78440,"[21, 10, 18, 5, 2, 15, 20, 1, 24, 9]"
78478,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
79220,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
79361,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
80006,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
80033,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
80332,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
80451,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
80579,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
81349,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
81410,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
81734,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
81900,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
82529,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
82582,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
82730,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
82794,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
83242,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
83250,"[21, 10, 18, 5, 2, 15, 20, 1, 24, 9]"
83693,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
83861,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
84812,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
85253,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
85332,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
85749,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
86082,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
86927,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
87120,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
87338,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
87462,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
87616,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
87656,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
87724,"[24, 2, 15, 3, 10, 11, 13, 1, 6, 16]"
87905,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
88599,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
88674,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
89056,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
89476,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
89537,"[24, 2, 15, 3, 10, 11, 13, 1, 6, 16]"
89574,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
89844,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
89863,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
89874,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
89878,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
90019,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
90228,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
90461,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
90550,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
90817,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
91141,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
